"","dataset6_1","dataset6_2","dataset6_3","dataset6_4","dataset6_5","dataset6_6","dataset6_7","dataset6_8","dataset6_9","dataset6_10","dataset6_11","dataset6_12","dataset6_13","dataset6_14","dataset6_15","dataset6_16","dataset6_17","dataset6_18","dataset6_19","dataset6_20"
"bOTU407",0.000434782608695652,0.000316205533596838,0.000632411067193676,0.000474308300395257,0.000513833992094862,0.000395256916996047,0.000474308300395257,0.000909090909090909,0.00209486166007905,0.000671936758893281,0.000197628458498024,0.000671936758893281,0.000869565217391304,0.000434782608695652,0.000158102766798419,0.000592885375494071,0.00102766798418972,0.00193675889328063,0.00134387351778656,0.000948616600790514
"bOTU8249",0.000158102766798419,0.000158102766798419,0.000197628458498024,0.000434782608695652,0.000197628458498024,0.000671936758893281,0.000118577075098814,0.000671936758893281,0.000197628458498024,0.000513833992094862,0.000276679841897233,0.000553359683794466,3.95256916996047e-05,0.0008300395256917,0,0.000276679841897233,0.000276679841897233,0.000474308300395257,0.000158102766798419,0.000316205533596838
"bOTU14995",0.000395256916996047,0.000276679841897233,0.000395256916996047,0.000513833992094862,0.000909090909090909,0.00138339920948617,0.000395256916996047,0.000869565217391304,0.000513833992094862,0.00110671936758893,0.000197628458498024,0.00075098814229249,0.000474308300395257,0.000513833992094862,0.000197628458498024,0.000632411067193676,0.000592885375494071,0.00134387351778656,0.000237154150197628,0.00122529644268775
"bOTU9788",0.00837944664031621,0.001699604743083,0.00197628458498024,0.00142292490118577,0.00272727272727273,0.00173913043478261,0.00339920948616601,0.0058498023715415,0.00454545454545455,0.00181818181818182,0.00102766798418972,0.00154150197628458,0.00146245059288538,0.00276679841897233,0.00312252964426877,0.00339920948616601,0.00960474308300395,0.00478260869565217,0.00802371541501976,0.00399209486166008
"bOTU9806",0.00075098814229249,0.00075098814229249,0.000355731225296443,0.000237154150197628,0.000118577075098814,0.000276679841897233,0.000355731225296443,0.000237154150197628,0.000237154150197628,0.000118577075098814,0.000158102766798419,0.000237154150197628,7.90513833992095e-05,0.000434782608695652,0.000118577075098814,0.000158102766798419,0.000276679841897233,0.000118577075098814,0.000355731225296443,7.90513833992095e-05
"bOTU12103",0.00233201581027668,0.00146245059288538,0.000988142292490119,0.000671936758893281,0.00177865612648221,0.000869565217391304,0.00154150197628458,0.00288537549407115,0.00177865612648221,0.00154150197628458,0.000395256916996047,0.00213438735177866,0.000671936758893281,0.0016600790513834,0.00122529644268775,0.00209486166007905,0.0033201581027668,0.00422924901185771,0.00205533596837945,0.00177865612648221
"bOTU11650",0.00138339920948617,0.000790513833992095,0.000474308300395257,0.000671936758893281,0.000790513833992095,0.00193675889328063,0.000395256916996047,0.00201581027667984,0.000711462450592885,0.00106719367588933,3.95256916996047e-05,0.00162055335968379,0.000237154150197628,0.000671936758893281,0.000316205533596838,0.00118577075098814,0.00142292490118577,0.0025296442687747,0.000948616600790514,0.00213438735177866
"bOTU13531",0.000869565217391304,0.0124505928853755,0.00205533596837945,0.00509881422924901,0.000988142292490119,0.0247430830039526,0.000276679841897233,0.00802371541501976,0.000869565217391304,0.00379446640316206,0.00114624505928854,0.0100395256916996,0.001699604743083,0.00766798418972332,0.000592885375494071,0.010395256916996,0.000790513833992095,0.00877470355731225,0.00150197628458498,0.00861660079051383
"bOTU9642",0.000276679841897233,0.000513833992094862,0.000395256916996047,0.000118577075098814,0.000197628458498024,0.000158102766798419,3.95256916996047e-05,0.000158102766798419,0.000513833992094862,0.000197628458498024,0.000434782608695652,0.000118577075098814,0.000197628458498024,0.000711462450592885,0.000158102766798419,0.000355731225296443,0.000513833992094862,7.90513833992095e-05,0.000316205533596838,0.000276679841897233
"bOTU11271",0.00138339920948617,0.000434782608695652,0.000632411067193676,0.000632411067193676,0.00154150197628458,0.00181818181818182,0.00122529644268775,0.00154150197628458,0.00138339920948617,0.0016600790513834,0.000513833992094862,0.00130434782608696,0.000909090909090909,0.00173913043478261,0.000711462450592885,0.000790513833992095,0.00154150197628458,0.00201581027667984,0.00122529644268775,0.0016600790513834
"bOTU5834",0.000513833992094862,7.90513833992095e-05,0.000395256916996047,0.000197628458498024,0.000790513833992095,0.000158102766798419,0.000118577075098814,0.0016600790513834,0.000158102766798419,0.000592885375494071,3.95256916996047e-05,0.000474308300395257,0.000197628458498024,0.000711462450592885,0.000316205533596838,0.000632411067193676,0.000355731225296443,0.000909090909090909,0.000316205533596838,0.000790513833992095
"bOTU13878",0.000158102766798419,0.000434782608695652,0.000158102766798419,0.00134387351778656,0.000237154150197628,0.000711462450592885,3.95256916996047e-05,0.00118577075098814,3.95256916996047e-05,0.00114624505928854,0.000118577075098814,0.00126482213438735,0.000237154150197628,0.000711462450592885,7.90513833992095e-05,0.00075098814229249,3.95256916996047e-05,0.000711462450592885,0.000237154150197628,0.00118577075098814
"bOTU9115",0.0008300395256917,0.000158102766798419,0.000434782608695652,0.000355731225296443,0.000513833992094862,0.000395256916996047,0.000592885375494071,0.00075098814229249,0.000355731225296443,0.000671936758893281,0.000158102766798419,0.000513833992094862,0.000395256916996047,0.000671936758893281,0.000553359683794466,0.000316205533596838,0.000355731225296443,0.000711462450592885,0.000553359683794466,0.000474308300395257
"bOTU13407",0.00430830039525692,0.0016600790513834,0.00114624505928854,0.00130434782608696,0.00185770750988142,0.00189723320158103,0.00205533596837945,0.00411067193675889,0.00438735177865613,0.00181818181818182,0.000790513833992095,0.00150197628458498,0.00102766798418972,0.00221343873517787,0.00150197628458498,0.00324110671936759,0.00454545454545455,0.00312252964426877,0.00363636363636364,0.00284584980237154
"bOTU6577",0.00154150197628458,0.000592885375494071,0.00118577075098814,0.000513833992094862,0.000355731225296443,0.00118577075098814,0.000316205533596838,0.000355731225296443,0.000553359683794466,0.000316205533596838,0.000988142292490119,0.00114624505928854,0.000513833992094862,0.000988142292490119,0.000513833992094862,0.000197628458498024,0.000592885375494071,0.000592885375494071,0.000553359683794466,0.000474308300395257
"bOTU11036",0.000276679841897233,0.000276679841897233,0.000592885375494071,0.000237154150197628,0.000158102766798419,3.95256916996047e-05,0.000118577075098814,0.000118577075098814,0.000474308300395257,0.000118577075098814,0.000513833992094862,0.000158102766798419,0.000237154150197628,7.90513833992095e-05,0.000276679841897233,0.000118577075098814,0.000434782608695652,0.000118577075098814,0.000276679841897233,7.90513833992095e-05
"bOTU8324",0.000671936758893281,0.000118577075098814,0.0008300395256917,3.95256916996047e-05,0.000434782608695652,0.000197628458498024,0.000276679841897233,0.000395256916996047,0.000632411067193676,0.000197628458498024,0.00122529644268775,0.000316205533596838,0.000513833992094862,0.000158102766798419,0.000592885375494071,3.95256916996047e-05,0.000592885375494071,0.000434782608695652,0.0008300395256917,7.90513833992095e-05
